PWP-0.25m,Normalized CAT-RMS,PVP-0.50m,Normalized CAT-RMS,PVP-0.75m,Normalized CAT-RMS
x1,y1,x2,y2,x3,y3
-0.00185,0,0.01757,0,0.01982,8.68853E-4
-0.00176,0,0.01728,0,0.01929,8.82571E-4
-0.00159,0,0.01727,0,0.02168,8.82571E-4
-0.00171,0,0.01733,0,0.01926,8.82571E-4
-0.00177,0,0.01696,0,0.02068,9.21538E-4
-0.00177,0,0.01726,0,0.02129,9.21538E-4
-0.00171,0,0.0172,0,0.01932,9.21538E-4
-0.0019,0,0.01699,0,0.02142,9.21538E-4
-0.00182,0,0.01723,0,0.02044,9.21538E-4
-0.00162,0,0.01743,0,0.01927,9.21538E-4
-0.002,0,0.01721,0,0.0219,9.21538E-4
-0.00148,0,0.01718,0,0.0206,9.21538E-4
-0.00192,0,0.01739,0,0.01961,9.21538E-4
-0.00184,0,0.01738,0,0.02143,9.9097E-4
-0.00161,0,0.0167,0,0.02001,0.00107
-0.00173,0,0.01716,0,0.01938,0.00107
-0.00176,0,0.01733,0,0.02188,0.00107
-0.00274,0,0.01751,0,0.01999,0.00108
-0.00155,0,0.01749,0,0.02034,0.00108
-0.00131,0,0.01791,0,0.02207,0.00108
-0.00192,0,0.01817,0,0.02025,0.00108
-0.0013,0,0.01765,0,0.02116,0.00108
-0.00172,0,0.01753,0,0.02254,0.00108
-9.20E-04,0,0.01742,0,0.02011,0.00108
-0.00147,0,0.01807,0,0.02176,0.00108
-0.00146,0,0.01778,0,0.02249,0.00108
-0.00151,0,0.01787,0,0.02036,0.00108
-0.00164,0,0.0183,0,0.02165,0.00113
-0.00138,0,0.01787,0,0.02144,0.00113
-0.00168,0,0.01803,0,0.01986,0.00113
-0.00134,0,0.01832,0,0.0219,0.00113
-0.00149,0,0.01819,0,0.0211,0.00113
-0.00188,0,0.0184,0,0.02066,0.00113
-0.00146,0,0.01869,0,0.02243,0.00113
-0.00135,0,0.01838,0,0.0208,0.00113
-0.00188,0,0.01876,0,0.02089,0.00115
-0.00221,0,0.01895,0,0.02266,0.00115
-0.00126,0,0.0185,0,0.02034,0.00115
-0.00106,0,0.01881,0,0.02081,0.00115
-0.00119,0,0.01885,0,0.02235,0.00115
-0.00103,0,0.01919,0,0.02025,0.00115
-9.30E-04,0,0.01936,0,0.0219,0.00115
-0.00112,0,0.01926,0,0.02236,0.00115
-0.00111,0,0.01946,0,0.02034,0.00115
-0.00132,0,0.01997,0,0.02214,0.00119
-0.00159,0,0.01919,0,0.02202,0.00119
-0.00104,0,0.01892,0,0.02056,0.00119
-0.00169,0,0.01929,0,0.02252,0.00119
-0.00156,0,0.01943,0,0.02103,0.00119
-0.00101,0,0.01904,0,0.02123,0.00119
-0.00178,0,0.01925,0,0.02306,0.00119
-7.90E-04,0,0.01923,0,0.02079,0.00119
-8.50E-04,0,0.0194,0,0.02166,0.00119
-0.00127,0,0.01934,0,0.02276,0.00119
-0.00123,0,0.01938,0,0.02073,0.00119
-0.00149,0,0.01927,0,0.02266,0.00119
-0.00125,0,0.01955,0,0.02188,0.00119
-9.90E-04,0,0.01973,0,0.02052,0.00119
-0.00117,0,0.01972,0,0.02317,0.00119
-0.00126,0,0.01958,0,0.0222,0.00119
-0.00112,0,0.01976,0,0.02118,0.00119
-9.70E-04,0,0.02012,0,0.02363,0.0012
-0.00109,0,0.02003,0,0.02139,0.0012
-8.60E-04,0,0.0203,0,0.02161,0.0012
-6.30E-04,0,0.01991,0,0.02314,0.0012
-8.40E-04,0,0.02042,0,0.0219,0.0012
-8.60E-04,0,0.02,0,0.02142,0.0012
-4.60E-04,0,0.02035,0,0.02381,0.00125
-8.60E-04,0,0.02038,0,0.02369,0.00125
-8.80E-04,0,0.02061,0,0.02221,0.00125
-0.00136,0,0.02094,0,0.02235,0.00125
-6.70E-04,0,0.0203,0,0.02164,0.00125
-4.30E-04,0,0.0206,0,0.02209,0.00125
-8.80E-04,0,0.02067,0,0.02276,0.00125
-8.60E-04,0,0.02082,0,0.02239,0.00125
-5.30E-04,0,0.02092,0,0.02392,0.00125
-5.40E-04,0,0.02086,0,0.02529,0.00127
-0.00103,0,0.02082,0,0.02245,0.0013
-8.00E-04,0,0.0211,0,0.02262,0.0013
-8.10E-04,0,0.02111,0,0.02457,0.0013
-5.20E-04,0,0.0214,0,0.02342,0.00138
-7.80E-04,0,0.02073,0,0.02245,0.00138
-6.60E-04,0,0.02062,0,0.02512,0.00138
-2.10E-04,0,0.02084,0,0.02387,0.00138
-3.10E-04,0,0.02053,0,0.02282,0.00138
-2.30E-04,0,0.02068,0,0.02446,0.00138
-6.40E-04,0,0.0208,0,0.02444,0.00138
-4.90E-04,0,0.02112,0,0.02249,0.00138
-4.00E-05,0,0.02111,0,0.02389,0.00143
-4.10E-04,0,0.02117,0,0.02497,0.00143
-3.70E-04,0,0.02141,0,0.02318,0.00143
-3.40E-04,0,0.02132,0,0.02323,0.00143
-5.00E-05,0,0.02099,0,0.02448,0.00145
-4.00E-05,0,0.02106,0,0.025,0.00145
-2.20E-04,0,0.02169,0,0.02302,0.00145
-3.50E-04,0,0.02151,0,0.02386,0.00145
-1.60E-04,0,0.02175,0,0.02379,0.00145
-9.50E-04,0,0.02153,0,0.02613,0.00145
-4.70E-04,0,0.02127,0,0.02349,0.00145
-1.80E-04,0,0.02109,0,0.02359,0.00145
-2.60E-04,0,0.02104,0,0.02337,0.00145
-1.80E-04,0,0.02095,0,0.02597,0.00145
-4.30E-04,0,0.0216,0,0.02498,0.00145
-1.60E-04,0,0.02177,0,0.02304,0.00145
-4.30E-04,0,0.02196,0,0.02383,0.00145
-5.50E-04,0,0.02146,0,0.02398,0.00147
-3.20E-04,0,0.0212,0,0.02468,0.00147
-2.60E-04,0,0.02176,0,0.02448,0.00147
-3.00E-05,0,0.02179,0,0.02459,0.00147
