PWP-0.25m,Normalized CAT-RMS,PVP-0.50m,Normalized CAT-RMS,PVP-0.75m,Normalized CAT-RMS
x1,y1,x2,y2,x3,y3
0.03189,0,0.00987,0,0.00137,0
0.03153,0,0.00928,0,0.00185,0
0.03206,0,0.00916,0,0.00182,0
0.03207,0,0.00962,0,0.00153,0
0.03207,0,0.0098,0,0.00151,0
0.03218,0,0.00979,0,0.00173,0
0.03186,0,0.0097,0,0.00207,0
0.03173,0,0.00997,0,0.00243,0
0.03179,0,0.00966,0,0.00169,0
0.03191,0,0.00945,0,0.00193,0
0.03218,0,0.00948,0,0.00207,0
0.03204,0,0.00888,0,0.00216,0
0.03229,0,0.00944,0,0.0019,0
0.03218,0,0.00979,0,0.00187,0
0.0323,0,0.00966,0,0.00253,0
0.03222,0,0.00959,0,0.0023,0
0.03236,0,0.00967,0,0.00237,0
0.03204,0,0.00976,0,0.00213,0
0.03218,0,0.00936,0,0.00208,0
0.03236,0,0.01009,0,0.00182,0
0.03271,0,0.00968,0,0.00142,0
0.03267,0,0.00963,0,0.00146,0
0.03252,0,0.00985,0,0.0016,0
0.03275,0,0.00974,0,0.0016,0
0.03253,0,0.01002,0,0.00177,0
0.03204,0,0.01025,0,0.00152,0
0.03242,0,0.01007,0,0.00132,0
0.03293,0,0.01011,0,0.00139,0
0.03218,0,0.00983,0,0.00213,0
0.03274,0,0.01016,0,0.00151,0
0.0328,0,0.01064,0,0.0014,0
0.03255,0,0.0103,0,0.00224,0
0.03278,0,0.01095,0,0.00239,0
0.03292,0,0.01092,0,0.00214,0
0.0329,0,0.01094,0,0.00177,0
0.03223,0,0.01055,0,0.0023,0
0.03262,0,0.01072,0,0.00218,0
0.03275,0,0.01066,0,0.00175,0
0.03234,0,0.01036,0,0.00223,0
0.03263,0,0.0105,0,0.00257,0
0.03301,0,0.01115,0,0.00275,0
0.03271,0,0.01096,0,0.00268,0
0.03304,0,0.01092,0,0.0027,0
0.03246,0,0.01082,0,0.00283,0
0.03291,0,0.01075,0,0.00233,0
0.03309,0,0.01084,0,0.00252,0
0.03318,0,0.01092,0,0.00282,0
0.03309,0,0.01112,0,0.00305,0
0.03284,0,0.01172,0,0.00286,0
0.03313,0,0.01213,0,0.00319,0
0.03309,0,0.01239,0,0.00308,0
0.03337,0,0.01263,0,0.00264,0
0.03317,0,0.01272,0,0.00279,0
0.03295,0,0.0129,0,0.00273,0
0.03336,0,0.01271,0,0.00316,0
0.03353,0,0.01294,0,0.00278,0
0.03358,0,0.0127,0,0.00316,0
0.03276,0,0.01244,0,0.00258,0
0.03295,0,0.01248,0,0.00278,0
0.03325,0,0.01264,0,0.00268,0
0.03292,0,0.01187,0,0.00285,0
0.03329,0,0.01203,0,0.00239,0
0.03301,0,0.01195,0,0.00265,0
0.03311,0,0.01212,0,0.00314,0
0.03341,0,0.01213,0,0.00274,0
0.03366,0,0.01183,0,0.00297,0
0.03382,0,0.01182,0,0.00313,0
0.03344,0,0.01157,0,0.00284,0
0.03362,0,0.01121,0,0.00285,0
0.03338,0,0.01109,0,0.00302,0
0.03356,0,0.01098,0,0.00252,0
0.03349,0,0.01078,0,0.00293,0
0.03369,0,0.01112,0,0.00302,0
0.0337,0,0.01135,0,0.00294,0
0.03388,0,0.0113,0,0.00295,0
0.034,0,0.01125,0,0.0028,0
0.03399,0,0.01174,0,0.0028,0
0.0341,0,0.01156,0,0.00307,0
0.03398,0,0.0114,0,0.00288,0
0.03425,0,0.01087,0,0.00299,0
0.03419,0,0.01088,0,0.00318,0
0.03398,0,0.01094,0,0.00284,0
0.03382,0,0.01129,0,0.00268,0
0.03411,0,0.01122,0,0.00279,0
0.03474,0,0.0115,0,0.00212,0
0.03377,0,0.01069,0,0.00278,0
0.03399,0,0.01043,0,0.00268,0
0.0339,0,0.01065,0,0.00268,0
0.03479,0,0.01104,0,0.00212,0
0.03404,0,0.01064,0,0.00243,0
0.03423,0,0.01088,0,0.00251,0
0.03429,0,0.0107,0,0.00253,0
0.03462,0,0.01091,0,0.00275,0
0.03404,0,0.0104,0,0.0029,0
0.03448,0,0.01011,0,0.00274,0
0.03426,0,0.00991,0,0.00261,0
0.03416,0,0.0098,0,0.00245,0
0.0343,0,0.00988,0,0.00272,0
0.03414,0,0.01016,0,0.0028,0
0.03471,0,0.01014,0,0.0029,0
0.03441,0,0.01057,0,0.00348,0
0.03489,0,0.01067,0,0.00359,0
0.03498,0,0.0108,0,0.00304,0
0.03503,0,0.01037,0,0.00362,0
0.03446,0,0.01029,0,0.00288,0
0.03432,0,0.01001,0,0.00323,0
0.03493,0,0.00995,0,0.00356,0
0.03478,0,0.01026,0,0.00332,0
0.03481,0,0.01009,0,0.00363,0
0.03501,0,0.01031,0,0.0035,0
0.03474,0,0.01034,0,0.00397,0
0.03498,0,0.01063,0,0.00369,0
0.03457,0,0.0108,0,0.00411,0
0.03426,0,0.01075,0,0.00415,0
0.03444,0,0.01041,0,0.00385,0
0.0346,0,0.01062,0,0.00366,0
0.03454,0,0.0105,0,0.00358,0
0.03435,0,0.01058,0,0.00366,0
0.0348,0,0.0105,0,0.00334,0
0.03475,0,0.0102,0,0.00356,0
0.0344,0,0.01024,0,0.0036,0
0.03501,0,0.01006,0,0.00372,0
0.03437,0,0.01028,0,0.00315,0
