MS-0.25m,Normalized CAT-RMS,MS-0.5m,Normalized CAT-RMS,MS-0.75m,Normalized CAT-RMS
x1,y1,x2,y2,x3,y3
36.1,2.55325E-6,32.1,0,26.1,4.89347E-4
36.1,2.55325E-6,32.1,0,26.2,6.99897E-4
36.2,3.01497E-5,32.2,0,26.1,6.99897E-4
36.1,4.60862E-5,32.1,0,26.1,6.99897E-4
36.1,5.10438E-5,32.1,0,26.2,6.99897E-4
36.1,7.98105E-5,32.1,0,26.1,6.99897E-4
36.2,1.33088E-4,32.1,0,26.1,6.99897E-4
36.1,2.52666E-4,32.1,0,26.1,6.99897E-4
36.3,3.22902E-4,32.1,0,26.1,6.99897E-4
36.2,5.30141E-4,32.1,0,26.2,9.06575E-4
36.3,6.42973E-4,32.1,0,26.1,9.06575E-4
36.1,9.05873E-4,32.1,0,26.2,9.06575E-4
36.2,0.00109,32.1,0,26.2,9.06575E-4
36.2,0.0014,32.1,0,26.1,9.06575E-4
36.2,0.00167,32.1,0,26.2,9.06575E-4
36.2,0.00176,32.1,0,26.1,9.06575E-4
36.1,0.00191,32.1,0,26.1,9.06575E-4
36.2,0.00209,32.1,0,26.2,9.06575E-4
36.1,0.00226,32,0,26.1,9.06575E-4
36,0.00251,32.1,0,26.1,9.06575E-4
36.1,0.0028,32.2,0,26.1,9.06575E-4
36.2,0.00312,32.1,0,26.1,9.06575E-4
36.2,0.00334,32.1,0,26.2,9.06575E-4
36.2,0.00366,32.1,0,26.1,9.06575E-4
36.2,0.00392,32,0,26.1,9.06575E-4
36.1,0.00442,32.1,0,26.2,9.06575E-4
36.2,0.00488,32.1,5.01024E-6,26.2,9.06575E-4
36.2,0.00534,32.1,5.01024E-6,26.2,9.06575E-4
36.3,0.00582,32.1,2.56118E-5,26.1,0.00208
36.2,0.00623,32.1,4.80002E-5,26.1,0.0026
36.1,0.00698,32.1,4.80002E-5,26.2,0.00262
36.2,0.00733,32.2,4.80002E-5,26.1,0.00262
36.1,0.00778,32,4.80002E-5,26.1,0.00284
36.2,0.00817,32.1,4.80002E-5,26.1,0.00293
36.2,0.00837,32.1,4.80002E-5,26.1,0.00293
36.2,0.00864,32,9.01493E-5,26.1,0.00316
36.2,0.00929,32.2,1.2417E-4,26.2,0.0045
36.1,0.00948,32.1,1.29741E-4,26.1,0.00513
36.2,0.00959,32.1,1.29741E-4,26.1,0.00552
36.1,0.0096,32.1,1.32368E-4,26.2,0.00552
36.1,0.00963,32.1,1.32368E-4,26.1,0.00559
36.1,0.00963,32.1,1.32368E-4,26.2,0.00559
36.1,0.00963,32.2,1.40812E-4,26.1,0.00559
36.2,0.00963,32.1,1.41058E-4,26.1,0.00559
36.2,0.00963,32.1,1.41058E-4,26.1,0.00559
36.2,0.00963,32.1,1.41058E-4,26.1,0.00592
36.1,0.00963,32.1,1.41058E-4,26.1,0.00599
36.1,0.00963,32.1,1.41058E-4,26.2,0.00599
36.2,0.00963,32.1,1.41058E-4,26.2,0.00653
36.3,0.00963,32.1,1.41058E-4,26.2,0.00686
36.1,0.00963,32.2,1.41058E-4,26.2,0.00686
36.2,0.00963,32.2,1.41058E-4,26.1,0.00686
36.1,0.00963,32.1,1.41058E-4,26.2,0.00686
36.1,0.00963,32.1,1.41058E-4,26.1,0.00686
36.2,0.00963,32,1.41058E-4,26.1,0.00686
36.2,0.00963,32,1.41058E-4,26.1,0.00686
36.2,0.00963,32.1,1.41058E-4,26.1,0.00686
36.2,0.00963,32.2,1.41058E-4,26.1,0.00721
36.1,0.00963,32.1,1.41058E-4,26.1,0.00721
36.1,0.00963,32,1.41058E-4,26.1,0.00721
36.2,0.00963,32.1,1.41058E-4,26.2,0.00721
36.1,0.00963,32,1.41058E-4,26.2,0.00721
36.2,0.00963,32.1,1.41058E-4,26.2,0.00819
36.2,0.00968,32.1,1.41058E-4,26.1,0.00837
