PWP-0.25m,Normalized CAT-RMS,PVP-0.50m,Normalized CAT-RMS,PVP-0.75m,Normalized CAT-RMS
x1,y1,x2,y2,x3,y3
0.01483,0,0.01253,0,0.00173,0
0.01502,0,0.01317,0,0.00206,0
0.01533,0,0.01293,0,0.00182,0
0.01514,0,0.01222,0,0.00194,0
0.01521,0,0.01248,0,0.00166,0
0.01532,0,0.01234,0,0.0016,0
0.01529,0,0.01271,0,0.00195,0
0.01558,0,0.01248,0,0.00176,0
0.01588,0,0.01234,0,0.00161,0
0.01591,0,0.01246,0,0.00194,0
0.01586,0,0.01264,0,0.00189,0
0.01558,0,0.01262,0,0.00203,0
0.01575,0,0.01225,0,0.00197,0
0.01596,0,0.0122,0,0.00194,0
0.01573,0,0.01247,0,0.0015,0
0.01602,0,0.01319,0,0.00196,0
0.01597,0,0.01233,0,0.00204,0
0.01596,0,0.01192,0,0.00199,0
0.01574,0,0.01282,0,0.00152,0
0.01606,0,0.01206,0,0.00169,0
0.0159,0,0.01257,0,0.00218,0
0.01592,0,0.01287,0,0.00237,0
0.01603,0,0.01233,0,0.00197,0
0.01591,0,0.01245,0,0.00227,0
0.01591,0,0.0128,0,0.00235,0
0.01583,0,0.01238,0,0.00231,0
0.01617,0,0.01286,0,0.00234,0
0.016,0,0.01289,0,0.00239,0
0.01604,0,0.01236,0,0.00236,0
0.01575,0,0.0128,0,0.00235,0
0.01549,0,0.01307,0,0.0024,0
0.01556,0,0.0127,0,0.00229,0
0.01579,0,0.01299,0,0.00256,0
0.01555,0,0.01326,0,0.00249,0
0.0159,0,0.01333,0,0.00288,0
0.01582,0,0.01329,0,0.00245,0
0.01594,0,0.01293,0,0.00248,0
0.01584,0,0.01282,0,0.00248,0
0.01607,0,0.01358,0,0.00251,0
0.01649,0,0.01295,0,0.00286,0
0.01651,0,0.01259,0,0.00273,0
0.01599,0,0.01288,0,0.0026,0
0.01638,0,0.01284,0,0.00248,0
0.01651,0,0.01285,0,0.00251,0
0.01694,0,0.01359,0,0.0026,0
0.01648,0,0.01333,0,0.00262,0
0.01679,0,0.01306,0,0.00243,0
0.01698,0,0.01384,0,0.00249,0
0.01656,0,0.01373,0,0.00259,0
0.01659,0,0.01345,0,0.00236,0
0.01661,0,0.0136,0,0.0025,0
0.01684,0,0.01383,0,0.00275,0
0.01694,0,0.01355,0,0.00259,0
0.01663,0,0.014,0,0.00274,0
0.01681,0,0.01386,0,0.00298,0
0.01698,0,0.01373,0,0.00252,0
0.01701,0,0.0142,0,0.00213,0
0.01715,0,0.0138,0,0.00223,0
0.01759,0,0.01397,0,0.0022,0
0.01731,0,0.01449,0,0.0022,0
0.01771,0,0.01438,0,0.00254,0
0.01767,0,0.01417,0,0.00254,0
0.01738,0,0.0137,0,0.00268,0
0.01692,0,0.01409,0,0.00227,0
0.01736,0,0.01376,0,0.00185,0
0.01784,0,0.01387,0,0.00243,0
0.0177,0,0.01367,0,0.00234,0
0.01768,0,0.0136,0,0.00245,0
0.01765,0,0.01414,0,0.00265,0
0.01771,0,0.01431,0,0.0025,0
0.01743,0,0.01444,0,0.00261,0
0.01737,0,0.01442,0,0.00253,0
0.01769,0,0.01484,0,0.00234,0
0.01775,0,0.01433,0,0.00232,0
0.01781,0,0.01487,0,0.00236,0
0.01737,0,0.01459,0,0.00284,0
0.01753,0,0.0145,0,0.00298,0
0.01732,0,0.01486,0,0.0028,0
0.0175,0,0.01457,0,0.00282,0
0.01717,0,0.01438,0,0.00286,0
0.01766,0,0.01446,0,0.00305,0
0.01779,0,0.01462,0,0.003,0
0.01696,0,0.01461,0,0.00292,0
0.01721,0,0.01459,0,0.00308,0
0.01734,0,0.01452,0,0.00276,0
0.01757,0,0.01474,0,0.00329,0
0.0174,0,0.01475,0,0.00301,0
0.01743,0,0.01451,0,0.00296,0
0.01747,0,0.01486,0,0.00274,0
0.01749,0,0.01471,0,0.00284,0
0.0175,0,0.01471,0,0.00285,0
0.01767,0,0.01517,0,0.00283,0
0.01815,0,0.01533,0,0.00291,0
0.01801,0,0.01471,0,0.0029,0
0.01808,0,0.01482,0,0.00281,0
0.0183,0,0.01549,0,0.00274,0
0.01807,0,0.01515,0,0.00289,0
0.01853,0,0.0146,0,0.00339,0
0.01824,0,0.01528,0,0.00332,0
0.01829,0,0.01532,0,0.00329,0
0.01803,0,0.01489,0,0.00318,0
0.01818,0,0.01557,0,0.00315,0
0.01828,0,0.0156,0,0.00336,0
0.01838,0,0.01519,0,0.00279,0
0.01858,0,0.01573,0,0.00304,0
0.01848,0,0.01523,0,0.00333,0
0.01873,0,0.01488,0,0.00312,0
0.01815,0,0.01552,0,0.00332,0
0.01812,0,0.01523,0,0.00333,0
0.01804,0,0.0146,0,0.00298,0
0.01783,0,0.01539,0,0.00316,0
0.01824,0,0.01497,0,0.00344,0
0.01845,0,0.01499,0,0.00355,0
0.01826,0,0.01575,0,0.00313,0
0.0181,0,0.01512,0,0.00342,0
0.01854,0,0.01514,0,0.00285,0
0.01854,0,0.01566,0,0.00305,0
0.01836,0,0.01532,0,0.00313,0
0.01853,0,0.01498,0,0.00345,0
0.01861,0,0.01562,0,0.00351,0
0.01866,0,0.01566,0,0.00335,0
0.01873,0,0.0152,0,0.00368,0
0.01872,0,0.0152,0,0.00344,0
0.01854,0,0.01603,0,0.00355,0
0.01861,0,0.0164,0,0.00369,0
0.01843,0,0.01626,0,0.00346,0
0.01886,0,0.01617,0,0.00365,0
0.01911,0,0.01565,0,0.00321,0
0.01881,0,0.01532,0,0.00331,0
0.01864,0,0.01542,0,0.0038,0
0.01873,0,0.01612,0,0.00374,0
0.01868,0,0.01628,0,0.00356,0
0.01838,0,0.016,0,0.00364,0
0.01863,0,0.01587,0,0.0036,0
0.01867,0,0.0158,0,0.00393,0
0.01906,0,0.01562,0,0.00344,0
0.01894,0,0.01619,0,0.00351,0
0.01873,0,0.01581,0,0.00384,0
0.01878,0,0.01544,0,0.00352,0
0.01898,0,0.016,0,0.00329,0
0.01945,0,0.01567,0,0.00345,0
0.01911,0,0.01538,0,0.00345,0
0.01912,0,0.01628,0,0.00377,0
0.01896,0,0.01593,0,0.00384,0
0.019,0,0.01615,0,0.00384,0
0.01885,0,0.01664,0,0.00387,0
0.0195,0,0.01636,0,0.00359,0
0.01962,0,0.01562,0,0.00392,0
0.01968,0,0.01602,0,0.00372,0
0.01942,0,0.01597,0,0.00386,0
0.01989,0,0.01575,0,0.00401,0
0.01993,0,0.01638,0,0.00375,0
0.01941,0,0.01622,0,0.00392,0
0.01973,0,0.01608,0,0.00404,0
0.01958,0,0.01685,0,0.00359,0
0.01934,0,0.01588,0,0.00404,0
0.0195,0,0.01593,0,0.00382,0
0.01964,0,0.01674,0,0.00389,0
0.0201,0,0.01641,0,0.00365,0
0.01997,0,0.01592,0,0.00397,0
0.02006,0,0.01688,0,0.00417,0
0.01988,0,0.016,0,0.00414,0
0.01962,0,0.01604,0,0.00434,0
