MS-0.25m,Normalized CAT-RMS,MS-0.5m,Normalized CAT-RMS,MS-0.75m,Normalized CAT-RMS
x1,y1,x2,y2,x3,y3
42.69,0,44.8,0,36.7,0
42.81,0,44.5,0,36.7,0
42.81,0,44.5,0,36.8,0
42.59,0,44,0,36.7,0
42.69,0,44.1,0,36.8,0
42.81,0,43.6,0,36.7,0
42.91,0,43.5,0,36.8,0
42.69,0,43.4,0,36.9,0
42.81,0,43,0,36.8,0
42.81,0,42.9,0,36.8,0
42.81,0,42.4,0,36.8,0
42.69,0,42.3,0,36.8,0
42.59,0,42.1,0,36.7,0
42.59,0,41.6,0,36.7,0
42.81,0,41.5,0,36.8,0
42.81,0,41.1,0,36.8,0
42.69,0,41,0,36.8,0
42.91,0,40.6,0,36.7,0
42.69,0,40.2,0,36.8,0
42.69,0,39.8,0,36.7,0
42.69,0,39.6,0,36.8,0
42.91,0,39.2,0,36.8,0
42.69,0,38.8,0,36.8,0
42.81,0,38.6,0,36.8,0
42.69,0,38.2,0,36.7,0
42.69,0,37.7,0,36.8,0
42.59,0,37.4,0,36.7,0
42.69,0,36.9,0,36.7,0
42.69,0,36.9,0,36.7,0
42.59,0,36.4,0,36.7,0
42.81,0,36.1,0,36.7,0
42.69,0,35.6,0,36.8,0
42.69,0,35.3,0,36.7,0
42.81,0,34.9,0,36.7,0
42.69,0,34.5,0,36.7,0
42.81,0,34.1,0,36.7,0
42.69,0,33.9,0,36.8,0
42.69,0,33.4,0,36.7,0
42.69,0,33,0,36.8,0
42.69,0,32.6,0,36.8,0
42.81,0,32.4,0,36.8,0
42.69,0,32,0,36.7,0
42.59,0,31.6,0,36.8,0
42.69,0,31.3,0,36.7,0
42.91,0,31.1,0,36.8,0
42.5,0,30.6,0,36.8,0
42.69,0,30.4,0,36.7,0
42.91,0,29.9,0,36.8,0
42.81,0,29.7,0,36.8,0
42.81,0,29.3,0,36.9,0
42.59,0,29.1,0,36.7,0
42.59,0,28.7,0,36.7,0
42.91,0,28.4,0,36.7,0
42.69,0,28,0,36.7,0
42.59,0,27.8,0,36.8,0
42.69,0,27.4,0,36.8,0
42.91,0,27.1,0,36.7,0
42.59,0,26.8,0,36.8,0
42.81,0,26.6,0,36.8,0
42.69,0,26.3,0,36.8,0
