frequency_Hz,PSD_event_included_period_dB_per_Hz,PSD_rainfall_only_period_dB_per_Hz
0,-112,-121
0.05,-102,-111
0.1,-95,-105
0.15,-91,-101
0.2,-88,-99
0.25,-86,-98.5
0.3,-88,-99
0.35,-91,-100
0.4,-93,-100.5
0.45,-95,-101
0.5,-96,-101.5
0.55,-95,-101
0.6,-93.5,-100.5
0.65,-94,-100
0.7,-96,-100.5
0.75,-98,-101
0.8,-100,-101
0.85,-101,-100.5
0.9,-101.5,-100
0.95,-101,-100
1,-100,-100
