10900	X	Y	Z	Log_Result
0.010758	150	121.600000	20	0.004647
0.692200	150	87.200000	20	0.228452
0.661000	150	52.800000	20	0.220370
0.207400	150	18.400000	20	0.081851
0.102227	120	18.400000	20	0.042271
0.102030	120	52.800000	20	0.042194
0.264143	120	87.200000	20	0.101796
0.067013	120	121.600000	20	0.028170
0.019836	90	121.600000	20	0.008530
0.015466	90	87.200000	20	0.006665
0.000758	90	52.800000	20	0.000329
0.025017	90	18.400000	20	0.010731
0.074761	60	18.400000	20	0.031312
0.209258	60	52.800000	20	0.082519
0.187570	60	87.200000	20	0.074659
0.141381	60	121.600000	20	0.057431
0.649093	30	121.600000	20	0.217245
0.097982	30	87.200000	20	0.040595
2.463281	30	52.800000	20	0.539488
1.566888	30	18.400000	20	0.409407
11.409183	120	18.400000	50	1.093743
0.195088	120	52.800000	50	0.077400
0.075470	120	87.200000	50	0.031599
0.374304	120	121.600000	50	0.138083
0.456446	90	121.600000	50	0.163294
0.067338	90	87.200000	50	0.028302
0.258425	90	52.800000	50	0.099827
0.073492	90	18.400000	50	0.030799
0.034752	60	18.400000	50	0.014836
0.042603	60	52.800000	50	0.018119
0.888282	60	87.200000	50	0.276067
0.172079	60	121.600000	50	0.068957
0.118405	30	121.600000	50	0.048599
0.013326	30	87.200000	50	0.005749
0.028248	30	52.800000	50	0.012098
0.465185	30	18.400000	50	0.165893
8.750888	90	18.400000	80	0.989044
0.050681	90	52.800000	80	0.021471
0.020583	90	87.200000	80	0.008848
0.033476	90	121.600000	80	0.014300
0.005048	60	121.600000	80	0.002187
0.028132	60	87.200000	80	0.012049
0.045818	60	52.800000	80	0.019456
0.546776	60	18.400000	80	0.189427
0.942275	30	18.400000	80	0.288311
0.405320	30	52.800000	80	0.147775
0.813880	30	87.200000	80	0.258609
2.060222	30	121.600000	80	0.485753
13.888372	20	120.000000	98	1.172847
0.777444	20	100.000000	98	0.249796
0.103795	20	80.000000	98	0.042888
0.091165	20	60.000000	98	0.037890
0.299466	20	40.000000	98	0.113765
0.177323	20	20.000000	98	0.070896
0.672908	40	40.000000	98	0.223472
0.818447	40	60.000000	98	0.259701
0.940321	40	80.000000	98	0.287874
0.802126	40	100.000000	98	0.255785
0.252319	40	120.000000	98	0.097715
0.815735	60	100.000000	98	0.259052
0.833831	60	80.000000	98	0.263359
0.759147	60	60.000000	98	0.245302
0.821191	60	40.000000	98	0.260356
0.150576	60	20.000000	98	0.060915
0.196971	80	40.000000	98	0.078084
0.281189	80	60.000000	98	0.107613
0.455210	80	80.000000	98	0.162926
0.318385	80	100.000000	98	0.120042
0.362507	80	120.000000	98	0.134339
0.560511	89	100.000000	98	0.193267
0.128700	88	80.000000	98	0.052579
0.000000	87	60.000000	98	0.000000
0.000000	86	40.000000	98	0.000000
0.007824	85	20.000000	98	0.003385
0.000000	95	40.000000	98	0.000000
0.000590	95	60.000000	98	0.000256
0.017819	95	80.000000	98	0.007671
0.005374	112	120.000000	84	0.002328
0.156146	123	100.000000	74	0.063013
0.038915	123	80.000000	74	0.016580
0.018726	123	60.000000	74	0.008057
0.019188	123	40.000000	74	0.008254
0.000806	124	20.000000	66	0.000350
0.000000	135	40.000000	58	0.000000
0.000000	135	60.000000	58	0.000000
0.000000	135	80.000000	58	0.000000
0.000000	135	100.000000	58	0.000000
0.000000	136	120.000000	50	0.000000
0.000000	147	100.000000	42	0.000000
0.000000	147	80.000000	42	0.000000
0.000000	147	60.000000	42	0.000000
0.000000	147	40.000000	42	0.000000
0.000000	148	20.000000	34	0.000000
0.002937	159	40.000000	26	0.001274
0.002114	159	60.000000	26	0.000917
0.004322	159	80.000000	26	0.001873
0.009243	159	100.000000	26	0.003996
0.000163	160	120.000000	18	0.000071
0.082944	171	100.000000	10	0.034606
0.058195	171	80.000000	10	0.024566
0.075719	171	60.000000	10	0.031699
0.036171	171	40.000000	10	0.015431
0.001993	171	20.000000	10	0.000865
