case,panel,series,x,y,x_unit,y_unit,source_file,downsample_factor,interpolation_method,label
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.271579,35.401571,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.284286,36.415090,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.296992,37.457603,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.309699,38.529937,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.322406,39.632945,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.335113,40.767501,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.347820,41.934508,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.360526,43.134891,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.373233,44.369603,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.385940,45.639625,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.398647,46.945963,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.411353,48.289655,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.424060,49.671766,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.436767,51.093392,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.449474,52.555662,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.462180,54.059733,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.474887,55.606798,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.487594,57.198084,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.500301,58.834852,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.513008,60.518397,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.525714,62.250053,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.538421,64.031193,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.551128,65.863225,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.563835,67.747600,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.576541,69.685808,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.589248,71.679385,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.601955,73.729905,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.614662,75.838992,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.627368,78.008311,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.640075,80.239577,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.652782,82.534554,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.665489,84.895054,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.678195,87.322941,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.690902,89.820132,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.703609,92.388597,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.716316,95.030362,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.729023,97.747512,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.741729,100.542187,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.754436,103.416591,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.767143,106.372989,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.779850,109.413707,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.792556,112.541141,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.805263,115.757750,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.817970,119.066066,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.830677,122.468690,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.843383,125.968295,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.856090,129.567632,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.868797,133.269526,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.881504,137.076883,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.894211,140.992690,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.906917,145.020017,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.919624,149.162021,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.932331,153.421947,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.945038,157.803128,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.957744,162.308994,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.970451,166.943068,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.983158,171.708973,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,4.995865,176.610430,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.008571,181.651265,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.021278,186.835413,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.033985,192.166913,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.046692,197.649920,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.059398,203.288703,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.072105,209.087649,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.084812,215.051265,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.097519,221.184185,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.110226,227.491170,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.122932,233.977112,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.135639,240.647037,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.148346,247.506109,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.161053,254.559636,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.173759,261.813071,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.186466,269.272013,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.199173,276.942220,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.211880,284.829601,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.224586,292.940233,h,voxels,,,,
