10853	X	Y	Z	Log_Result
0.000961	150	121.600000	20	0.000417
0.003164	150	87.200000	20	0.001372
0.004560	150	52.800000	20	0.001976
0.003943	150	18.400000	20	0.001709
0.111502	120	18.400000	20	0.045910
0.013685	120	52.800000	20	0.005903
0.044243	120	87.200000	20	0.018801
0.000000	120	121.600000	20	0.000000
0.012503	90	121.600000	20	0.005396
0.311472	90	87.200000	20	0.117759
0.003221	90	52.800000	20	0.001396
0.123979	90	18.400000	20	0.050758
0.000973	60	18.400000	20	0.000422
0.000000	60	52.800000	20	0.000000
0.013596	60	87.200000	20	0.005865
0.013992	60	121.600000	20	0.006034
0.390771	30	121.600000	20	0.143256
0.006281	30	87.200000	20	0.002719
0.304809	30	52.800000	20	0.115547
0.184430	30	18.400000	20	0.073509
4.721013	120	18.400000	50	0.757473
0.499880	120	52.800000	50	0.176057
0.109174	120	87.200000	50	0.045000
0.062022	120	121.600000	50	0.026133
0.010914	90	121.600000	50	0.004714
0.253283	90	87.200000	50	0.098049
0.063979	90	52.800000	50	0.026933
0.060420	90	18.400000	50	0.025478
0.046716	60	18.400000	50	0.019829
0.004882	60	52.800000	50	0.002115
0.003950	60	87.200000	50	0.001712
0.000230	60	121.600000	50	0.000100
0.000000	30	121.600000	50	0.000000
0.006582	30	87.200000	50	0.002849
0.086510	30	52.800000	50	0.036034
0.014351	30	18.400000	50	0.006188
5.211193	90	18.400000	80	0.793175
0.151754	90	52.800000	80	0.061360
0.175037	90	87.200000	80	0.070051
0.096485	90	121.600000	80	0.040003
0.321682	60	121.600000	80	0.121127
0.184383	60	87.200000	80	0.073492
0.508507	60	52.800000	80	0.178547
0.249000	60	18.400000	80	0.096562
0.148362	30	18.400000	80	0.060079
0.060494	30	52.800000	80	0.025508
1.553267	30	87.200000	80	0.407096
3.037869	30	121.600000	80	0.606152
13.920655	20	120.000000	98	1.173788
2.798434	20	100.000000	98	0.579605
0.377088	20	80.000000	98	0.138962
0.079699	20	60.000000	98	0.033303
0.034467	20	40.000000	98	0.014717
0.041065	20	20.000000	98	0.017478
0.008601	40	40.000000	98	0.003720
0.020446	40	60.000000	98	0.008790
0.074477	40	80.000000	98	0.031197
0.215856	40	100.000000	98	0.084882
0.411014	40	120.000000	98	0.149531
11.548375	60	100.000000	98	1.098587
6.257388	60	80.000000	98	0.860780
4.743356	60	60.000000	98	0.759166
5.147753	60	40.000000	98	0.788716
4.547139	60	20.000000	98	0.744069
0.197813	80	40.000000	98	0.078389
0.040564	80	60.000000	98	0.017269
0.087613	80	80.000000	98	0.036474
0.177864	80	100.000000	98	0.071095
0.239526	80	120.000000	98	0.093256
0.408417	89	100.000000	98	0.148731
0.148707	88	80.000000	98	0.060209
0.053198	87	60.000000	98	0.022510
0.090106	86	40.000000	98	0.037469
0.069071	85	20.000000	98	0.029007
0.199611	95	40.000000	98	0.079040
0.134599	95	60.000000	98	0.054842
0.166766	95	80.000000	98	0.066984
0.080589	112	120.000000	84	0.033661
0.041669	123	100.000000	74	0.017730
0.001043	123	80.000000	74	0.000453
0.000403	123	60.000000	74	0.000175
0.001510	123	40.000000	74	0.000655
0.000613	124	20.000000	66	0.000266
0.036964	135	40.000000	58	0.015764
0.062345	135	60.000000	58	0.026266
0.140703	135	80.000000	58	0.057172
0.248049	135	100.000000	58	0.096232
0.008502	136	120.000000	50	0.003677
0.016942	147	100.000000	42	0.007296
0.029088	147	80.000000	42	0.012453
0.011890	147	60.000000	42	0.005133
0.004117	147	40.000000	42	0.001784
0.000768	148	20.000000	34	0.000334
0.000905	159	40.000000	26	0.000393
0.004028	159	60.000000	26	0.001746
0.037207	159	80.000000	26	0.015865
0.128801	159	100.000000	26	0.052617
0.103855	160	120.000000	18	0.042912
0.420359	171	100.000000	10	0.152398
0.798627	171	80.000000	10	0.254941
1.264405	171	60.000000	10	0.354954
1.072331	171	40.000000	10	0.316459
0.024157	171	20.000000	10	0.010366
