28920	X	Y	Z	Log_Result
6.930935	150	121.600000	20	0.899324
53.943444	150	87.200000	20	1.739916
53.709149	150	52.800000	20	1.738060
47.470191	150	18.400000	20	1.685475
25.133223	120	18.400000	20	1.417193
13.249563	120	52.800000	20	1.153802
4.963442	120	87.200000	20	0.775497
1.271386	120	121.600000	20	0.356291
6.381673	90	121.600000	20	0.868155
4.071135	90	87.200000	20	0.705105
4.192216	90	52.800000	20	0.715353
5.208835	90	18.400000	20	0.793010
7.198590	60	18.400000	20	0.913739
6.205606	60	52.800000	20	0.857670
5.864313	60	87.200000	20	0.836597
6.530751	60	121.600000	20	0.876838
0.600727	30	121.600000	20	0.204317
0.365286	30	87.200000	20	0.135224
0.847394	30	52.800000	20	0.266559
0.529508	30	18.400000	20	0.184552
21.480336	120	18.400000	50	1.351803
0.006922	120	52.800000	50	0.002996
0.133842	120	87.200000	50	0.054553
0.206095	120	121.600000	50	0.081382
0.108910	90	121.600000	50	0.044896
0.457859	90	87.200000	50	0.163716
1.475817	90	52.800000	50	0.393718
1.139778	90	18.400000	50	0.330369
4.035203	60	18.400000	50	0.702017
0.336367	60	52.800000	50	0.125926
1.820040	60	87.200000	50	0.450255
0.017016	60	121.600000	50	0.007328
0.022313	30	121.600000	50	0.009584
13.058977	30	87.200000	50	1.147954
0.821862	30	52.800000	50	0.260515
6.195977	30	18.400000	50	0.857090
112.306134	90	18.400000	80	2.054253
0.723490	90	52.800000	80	0.236409
13.676868	90	87.200000	80	1.166633
9.184438	90	121.600000	80	1.007937
0.440461	60	121.600000	80	0.158501
4.269583	60	87.200000	80	0.721776
2.711020	60	52.800000	80	0.569493
15.619243	60	18.400000	80	1.220611
2.532464	30	18.400000	80	0.548078
0.350320	30	52.800000	80	0.130437
0.027347	30	87.200000	80	0.011717
5.355652	30	121.600000	80	0.803160
56.155123	20	120.000000	98	1.757055
56.627023	20	100.000000	98	1.760626
53.629041	20	80.000000	98	1.737424
49.259925	20	60.000000	98	1.701222
40.686143	20	40.000000	98	1.619992
9.115462	20	20.000000	98	1.004986
1.038088	40	40.000000	98	0.309223
2.408808	40	60.000000	98	0.532603
5.799153	40	80.000000	98	0.832455
12.480305	40	100.000000	98	1.129700
5.440188	40	120.000000	98	0.808899
91.093304	60	100.000000	98	1.964228
87.582272	60	80.000000	98	1.947347
75.296411	60	60.000000	98	1.882504
62.097481	60	40.000000	98	1.800012
12.522203	60	20.000000	98	1.131047
33.370919	80	40.000000	98	1.536191
27.369260	80	60.000000	98	1.452848
21.560463	80	80.000000	98	1.353348
16.734989	80	100.000000	98	1.248831
10.952639	80	120.000000	98	1.077464
1.657757	89	100.000000	98	0.424515
2.578645	88	80.000000	98	0.553719
3.906523	87	60.000000	98	0.690774
5.779556	86	40.000000	98	0.831201
50.791435	85	20.000000	98	1.714258
46.426509	95	40.000000	98	1.676021
83.435792	95	60.000000	98	1.926527
132.580040	95	80.000000	98	2.125742
3.314331	112	120.000000	84	0.634913
7.184081	123	100.000000	74	0.912970
9.608385	123	80.000000	74	1.025649
13.811477	123	60.000000	74	1.170598
19.741704	123	40.000000	74	1.316844
0.443881	124	20.000000	66	0.159531
19.477380	135	40.000000	58	1.311274
18.114984	135	60.000000	58	1.281374
15.328149	135	80.000000	58	1.212937
12.171058	135	100.000000	58	1.119621
11.836751	136	120.000000	50	1.108455
48.600737	147	100.000000	42	1.695488
52.295175	147	80.000000	42	1.726688
54.136353	147	60.000000	42	1.741438
53.964657	147	40.000000	42	1.740084
53.191249	148	20.000000	34	1.733929
60.609415	159	40.000000	26	1.789647
54.196940	159	60.000000	26	1.741915
49.318751	159	80.000000	26	1.701730
46.507675	159	100.000000	26	1.676764
34.224319	160	120.000000	18	1.546843
8.511736	171	100.000000	10	0.978260
7.220435	171	80.000000	10	0.914895
5.438805	171	60.000000	10	0.808805
6.190128	171	40.000000	10	0.856737
