30720	X	Y	Z	Log_Result
7.000989	150	121.600000	20	0.903144
54.920760	150	87.200000	20	1.747573
54.527086	150	52.800000	20	1.744505
47.764725	150	18.400000	20	1.688106
25.667629	120	18.400000	20	1.425984
13.438040	120	52.800000	20	1.159508
5.036707	120	87.200000	20	0.780800
1.332582	120	121.600000	20	0.367837
6.546330	90	121.600000	20	0.877736
4.116307	90	87.200000	20	0.708957
4.197684	90	52.800000	20	0.715810
5.228114	90	18.400000	20	0.794357
7.255342	60	18.400000	20	0.916735
6.225279	60	52.800000	20	0.858855
6.471155	60	87.200000	20	0.873388
7.042333	60	121.600000	20	0.905382
0.621933	30	121.600000	20	0.210033
0.379183	30	87.200000	20	0.139622
0.855591	30	52.800000	20	0.268482
0.537601	30	18.400000	20	0.186844
23.370350	120	18.400000	50	1.386862
0.006922	120	52.800000	50	0.002996
0.136177	120	87.200000	50	0.055446
0.315878	120	121.600000	50	0.119216
0.173608	90	121.600000	50	0.069523
0.498688	90	87.200000	50	0.175711
1.514067	90	52.800000	50	0.400377
1.189078	90	18.400000	50	0.340261
4.159423	60	18.400000	50	0.712601
0.350414	60	52.800000	50	0.130467
1.897274	60	87.200000	50	0.461990
0.022614	60	121.600000	50	0.009712
0.022849	30	121.600000	50	0.009812
13.559344	30	87.200000	50	1.163142
0.917787	30	52.800000	50	0.282800
6.305705	30	18.400000	50	0.863662
116.342213	90	18.400000	80	2.069454
0.744442	90	52.800000	80	0.241657
13.850901	90	87.200000	80	1.171753
9.367573	90	121.600000	80	1.015677
0.441084	60	121.600000	80	0.158689
4.275406	60	87.200000	80	0.722256
2.728422	60	52.800000	80	0.571525
16.267513	60	18.400000	80	1.237230
2.917230	30	18.400000	80	0.592979
0.351756	30	52.800000	80	0.130898
0.028387	30	87.200000	80	0.012157
5.974571	30	121.600000	80	0.843517
65.019855	20	120.000000	98	1.819675
66.226661	20	100.000000	98	1.827542
62.491156	20	80.000000	98	1.802713
56.263484	20	60.000000	98	1.757878
44.885404	20	40.000000	98	1.661675
9.569551	20	20.000000	98	1.024057
1.110503	40	40.000000	98	0.324386
2.534477	40	60.000000	98	0.548325
6.033449	40	80.000000	98	0.847168
12.954923	40	100.000000	98	1.144727
5.473325	40	120.000000	98	0.811127
94.766363	60	100.000000	98	1.981213
89.965784	60	80.000000	98	1.958878
76.495723	60	60.000000	98	1.889278
62.647973	60	40.000000	98	1.803785
13.105135	60	20.000000	98	1.149377
37.458859	80	40.000000	98	1.584996
30.953457	80	60.000000	98	1.504518
24.214649	80	80.000000	98	1.401653
18.448207	80	100.000000	98	1.288880
11.555022	80	120.000000	98	1.098817
1.753953	89	100.000000	98	0.439956
2.661471	88	80.000000	98	0.563656
3.973228	87	60.000000	98	0.696638
5.821727	86	40.000000	98	0.833894
53.945040	85	20.000000	98	1.739928
47.562871	95	40.000000	98	1.686304
86.923511	95	60.000000	98	1.944105
142.200092	95	80.000000	98	2.155943
3.410882	112	120.000000	84	0.644525
7.917584	123	100.000000	74	0.950247
10.220174	123	80.000000	74	1.050000
14.398611	123	60.000000	74	1.187482
20.427104	123	40.000000	74	1.330963
0.623684	124	20.000000	66	0.210502
22.571137	135	40.000000	58	1.372381
21.504795	135	60.000000	58	1.352275
18.470801	135	80.000000	58	1.289384
14.834120	135	100.000000	58	1.199594
14.481022	136	120.000000	50	1.189800
54.169230	147	100.000000	42	1.741697
59.175338	147	80.000000	42	1.779419
61.572231	147	60.000000	42	1.796382
61.418733	147	40.000000	42	1.795315
64.072089	148	20.000000	34	1.813395
62.258545	159	40.000000	26	1.801119
55.840319	159	60.000000	26	1.754657
52.058659	159	80.000000	26	1.724756
50.854703	159	100.000000	26	1.714788
38.136708	160	120.000000	18	1.592584
9.704418	171	100.000000	10	1.029563
8.177396	171	80.000000	10	0.962719
6.081468	171	60.000000	10	0.850123
7.077091	171	40.000000	10	0.907255
