12480	X	Y	Z	Log_Result
0.002798	150	121.600000	20	0.001213
0.162917	150	87.200000	20	0.065549
0.087062	150	52.800000	20	0.036254
0.003059	150	18.400000	20	0.001326
0.021639	120	18.400000	20	0.009298
0.000000	120	52.800000	20	0.000000
0.003573	120	87.200000	20	0.001549
0.000000	120	121.600000	20	0.000000
0.002591	90	121.600000	20	0.001124
0.009056	90	87.200000	20	0.003915
0.000125	90	52.800000	20	0.000054
0.080009	90	18.400000	20	0.033427
0.242002	60	18.400000	20	0.094122
0.171620	60	52.800000	20	0.068787
0.332371	60	87.200000	20	0.124625
0.261878	60	121.600000	20	0.101017
0.000052	30	121.600000	20	0.000023
0.000000	30	87.200000	20	0.000000
0.000139	30	52.800000	20	0.000060
0.000000	30	18.400000	20	0.000000
0.411402	120	18.400000	50	0.149651
0.000000	120	52.800000	50	0.000000
0.000000	120	87.200000	50	0.000000
0.000000	120	121.600000	50	0.000000
0.000000	90	121.600000	50	0.000000
0.024069	90	87.200000	50	0.010329
0.000000	90	52.800000	50	0.000000
0.001342	90	18.400000	50	0.000582
0.003245	60	18.400000	50	0.001407
0.000000	60	52.800000	50	0.000000
0.050503	60	87.200000	50	0.021397
0.000000	60	121.600000	50	0.000000
0.000000	30	121.600000	50	0.000000
0.002089	30	87.200000	50	0.000906
0.000000	30	52.800000	50	0.000000
0.000000	30	18.400000	50	0.000000
2.473131	90	18.400000	80	0.540721
0.000000	90	52.800000	80	0.000000
0.002569	90	87.200000	80	0.001114
0.035012	90	121.600000	80	0.014945
0.000316	60	121.600000	80	0.000137
0.066262	60	87.200000	80	0.027864
0.003808	60	52.800000	80	0.001651
0.238793	60	18.400000	80	0.092999
0.002319	30	18.400000	80	0.001006
0.004839	30	52.800000	80	0.002097
0.000000	30	87.200000	80	0.000000
0.019343	30	121.600000	80	0.008320
0.593661	20	120.000000	98	0.202396
0.560083	20	100.000000	98	0.193148
0.609501	20	80.000000	98	0.206691
0.660557	20	60.000000	98	0.220254
0.608399	20	40.000000	98	0.206394
0.011226	20	20.000000	98	0.004848
0.001824	40	40.000000	98	0.000792
0.006686	40	60.000000	98	0.002894
0.027582	40	80.000000	98	0.011817
0.052036	40	100.000000	98	0.022031
0.403453	40	120.000000	98	0.147198
3.016908	60	100.000000	98	0.603892
3.688136	60	80.000000	98	0.671000
3.920192	60	60.000000	98	0.691982
3.834499	60	40.000000	98	0.684351
0.102156	60	20.000000	98	0.042243
0.378366	80	40.000000	98	0.139364
0.112765	80	60.000000	98	0.046403
0.047986	80	80.000000	98	0.020355
0.049903	80	100.000000	98	0.021149
0.160933	80	120.000000	98	0.064807
0.144462	89	100.000000	98	0.058601
0.221566	88	80.000000	98	0.086917
0.320615	87	60.000000	98	0.120776
0.432898	86	40.000000	98	0.156215
0.904912	85	20.000000	98	0.279875
1.555964	95	40.000000	98	0.407555
1.807967	95	60.000000	98	0.448392
2.153796	95	80.000000	98	0.498834
0.241906	112	120.000000	84	0.094089
0.008518	123	100.000000	74	0.003684
0.026559	123	80.000000	74	0.011384
0.077342	123	60.000000	74	0.032354
0.162560	123	40.000000	74	0.065415
0.033632	124	20.000000	66	0.014366
0.075420	135	40.000000	58	0.031578
0.065710	135	60.000000	58	0.027639
0.054683	135	80.000000	58	0.023122
0.047773	135	100.000000	58	0.020267
0.009076	136	120.000000	50	0.003924
0.051958	147	100.000000	42	0.021998
0.050276	147	80.000000	42	0.021303
0.054649	147	60.000000	42	0.023108
0.064265	147	40.000000	42	0.027050
0.137153	148	20.000000	34	0.055819
0.050248	159	40.000000	26	0.021292
0.047844	159	60.000000	26	0.020297
0.049083	159	80.000000	26	0.020810
0.050278	159	100.000000	26	0.021304
0.027923	160	120.000000	18	0.011961
0.021930	171	100.000000	10	0.009421
0.021475	171	80.000000	10	0.009228
0.016967	171	60.000000	10	0.007307
0.012324	171	40.000000	10	0.005319
