CAT-RMS,Time(s),Ch90-92,S1Linear displacement sensor,Time(s),Slope surface,Horizontal crest platform
,134,0,,250707 14:08:58,-0.2,0.1
,135,0,,250707 14:09:02,-0.2,0.1
,136,0,,250707 14:09:06,-0.2,0.1
,137,0,,250707 14:09:10,-0.2,0.1
,138,0,,250707 14:09:14,-0.2,0.2
,139,0,,250707 14:09:18,-0.2,0.1
,140,0,,250707 14:09:22,-0.2,0.1
,141,0,,250707 14:09:26,-0.2,0.1
,142,0,,250707 14:09:30,-0.2,0.1
,143,0,,250707 14:09:34,-0.2,0.1
,144,0,,250707 14:09:38,-0.2,0.2
,145,0,,250707 14:09:42,-0.2,0.2
,146,0,,250707 14:09:46,-0.2,0.1
,147,0,,250707 14:09:50,-0.2,0.1
,148,0,,250707 14:09:54,-0.2,0.2
,149,0,,250707 14:09:58,-0.2,0.1
,150,0,,250707 14:10:02,-0.2,0.1
,151,0,,250707 14:10:06,-0.2,0.1
,152,0,,250707 14:10:10,-0.2,0.1
,153,0,,250707 14:10:14,-0.2,0.1
,154,0,,250707 14:10:18,-0.2,0.1
,155,0,,250707 14:10:22,-0.2,0.1
,156,0,,250707 14:10:26,-0.2,0.2
,157,0,,250707 14:10:30,-0.2,0.1
,158,0,,250707 14:10:34,-0.2,0.1
,159,0,,250707 14:10:38,-0.2,0.1
,160,0,,250707 14:10:42,-0.2,0.2
,161,0,,250707 14:10:46,-0.2,0.1
,162,0,,250707 14:10:50,-0.2,0.1
,163,0,,250707 14:10:54,-0.2,0.2
,164,0,,250707 14:10:58,-0.2,0.1
,165,0,,250707 14:11:02,-0.2,0.1
,166,0,,250707 14:11:06,-0.2,0.1
,167,0,,250707 14:11:10,-0.2,0.1
,168,0,,250707 14:11:14,-0.2,0.1
,169,0,,250707 14:11:18,-0.2,0.1
,170,0,,250707 14:11:22,-0.2,0.1
,171,0,,250707 14:11:26,-0.2,0.1
,172,0,,250707 14:11:30,-0.2,0.2
,173,0,,250707 14:11:34,-0.2,0.2
,174,0,,250707 14:11:38,-0.2,0.2
,175,0,,250707 14:11:42,-0.2,0.2
,176,0,,250707 14:11:46,-0.2,0.2
,177,0,,250707 14:11:50,-0.2,0.2
,178,0,,250707 14:11:54,-0.2,0.2
,179,0,,250707 14:11:58,-0.2,0.2
,180,0,,250707 14:12:02,-0.2,0.2
,181,0,,250707 14:12:06,-0.2,0.2
,182,0,,250707 14:12:10,-0.2,0.2
,183,0,,250707 14:12:14,-0.2,0.2
,184,0,,250707 14:12:18,-0.2,0.2
,185,0,,250707 14:12:22,-0.2,0.2
,186,0,,250707 14:12:26,-0.2,0.2
,187,0,,250707 14:12:30,-0.2,0.2
,188,0,,250707 14:12:34,-0.2,0.2
,189,0,,250707 14:12:38,-0.2,0.2
,190,0,,250707 14:12:42,-0.2,0.2
,191,0,,250707 14:12:46,-0.2,0.2
,192,0,,250707 14:12:50,-0.2,0.2
,193,0,,250707 14:12:54,-0.2,0.2
,194,0,,250707 14:12:58,-0.2,0.2
,195,0,,250707 14:13:02,-0.2,0.2
,196,0,,250707 14:13:06,-0.2,0.2
,197,0,,250707 14:13:10,-0.2,0.2
,198,0,,250707 14:13:14,-0.2,0.2
,199,0,,250707 14:13:18,-0.2,0.2
,200,0,,250707 14:13:22,-0.2,0.1
,201,0,,250707 14:13:26,-0.2,0.2
,202,0,,250707 14:13:30,-0.2,0.2
,203,0,,250707 14:13:34,-0.2,0.2
,204,0,,250707 14:13:38,-0.2,0.2
,205,0,,250707 14:13:42,-0.2,0.2
,206,0,,250707 14:13:46,-0.2,0.2
,207,0,,250707 14:13:50,-0.2,0.2
,208,0,,250707 14:13:54,-0.2,0.2
,209,0,,250707 14:13:58,-0.2,0.2
,210,0,,250707 14:14:02,-0.2,0.2
,211,0,,250707 14:14:06,-0.2,0.2
,212,0,,250707 14:14:10,-0.2,0.2
,213,0,,250707 14:14:14,-0.2,0.2
,214,0,,250707 14:14:18,-0.2,0.2
,215,0,,250707 14:14:22,-0.2,0.2
,216,0,,250707 14:14:26,0,0.2
,217,0,,250707 14:14:30,0,0.2
,218,0,,250707 14:14:34,0,0.2
,219,0,,250707 14:14:38,0,0.2
,220,0,,250707 14:14:42,0,0.2
,221,0,,250707 14:14:46,0,0.2
,222,0,,250707 14:14:50,0,0.2
,223,0,,250707 14:14:54,0,0.2
,224,0,,250707 14:14:58,0,0.2
,225,0,,250707 14:15:02,0,0.2
,226,0,,250707 14:15:06,0,0.2
,227,0,,250707 14:15:10,0,0.2
,228,0,,250707 14:15:14,0,0.2
,229,0,,250707 14:15:18,0,0.2
,230,0,,250707 14:15:22,0,0.2
,231,0,,250707 14:15:26,0,0.2
,232,0,,250707 14:15:30,0,0.2
,233,0,,250707 14:15:34,0,0.2
,234,0,,250707 14:15:38,0,0.2
,235,0,,250707 14:15:42,0,0.2
,236,0,,250707 14:15:46,0,0.2
,237,0,,250707 14:15:50,0,0.2
,238,0,,250707 14:15:54,0,0.3
,239,0,,250707 14:15:58,0,0.3
,240,0,,250707 14:16:02,0,0.2
,241,0,,250707 14:16:06,0,0.2
,242,0,,250707 14:16:10,0,0.2
,243,0,,250707 14:16:14,0,0.3
,244,0,,250707 14:16:18,0,0.3
,245,0,,250707 14:16:22,0,0.2
,246,0,,250707 14:16:26,0,0.2
,247,0,,250707 14:16:30,0,0.2
,248,0,,250707 14:16:34,0,0.3
,249,0,,250707 14:16:38,0,0.2
,250,0,,250707 14:16:42,0,0.3
,251,0,,250707 14:16:46,0,0.3
,252,0,,250707 14:16:50,0,0.3
,253,0,,250707 14:16:54,0,0.3
,254,0,,250707 14:16:58,0,0.3
,255,0,,250707 14:17:02,0,0.3
,256,0,,250707 14:17:06,0,0.3
,257,0,,250707 14:17:10,0,0.3
,258,0,,250707 14:17:14,0,0.3
,259,0,,250707 14:17:18,0,0.3
,260,0,,250707 14:17:22,0,0.3
,261,0,,250707 14:17:26,0,0.2
,262,0,,250707 14:17:30,0,0.3
,263,0,,250707 14:17:34,0,0.3
,264,0,,250707 14:17:38,0,0.3
,265,0,,250707 14:17:42,0,0.3
,266,0,,250707 14:17:46,0,0.3
,267,0,,250707 14:17:50,0,0.3
,268,0,,250707 14:17:54,0,0.3
,269,0,,250707 14:17:58,0,0.3
,270,0,,250707 14:18:02,0,0.3
,271,0,,250707 14:18:06,0,0.3
,272,0,,250707 14:18:10,0,0.3
,273,0,,250707 14:18:14,0,0.3
,274,0,,250707 14:18:18,0,0.3
,275,0,,250707 14:18:22,0,0.3
,276,0,,250707 14:18:26,0,0.3
,277,0,,250707 14:18:30,0,0.3
,278,0,,250707 14:18:34,0,0.3
,279,0,,250707 14:18:38,0,0.3
,280,0,,250707 14:18:42,0,0.3
,281,0,,250707 14:18:46,0,0.3
,282,0,,250707 14:18:50,0,0.3
,283,0,,250707 14:18:54,0,0.3
,284,0,,250707 14:18:58,0,0.3
,285,0,,250707 14:19:02,0,0.3
,286,0,,250707 14:19:06,0,0.3
,287,0,,250707 14:19:10,0,0.3
,288,0,,250707 14:19:14,0,0.3
,289,0,,250707 14:19:18,0,0.3
,290,0,,250707 14:19:22,0,0.3
,291,0,,250707 14:19:26,0,0.3
,292,0,,250707 14:19:30,0,0.3
,293,0,,250707 14:19:34,0,0.3
,294,0,,250707 14:19:38,0,0.3
,295,0,,250707 14:19:42,0,0.3
,296,0,,250707 14:19:46,0,0.3
,297,0,,250707 14:19:50,0,0.3
,298,0,,250707 14:19:54,0,0.3
,299,0,,250707 14:19:58,0,0.3
,300,0,,250707 14:20:02,0,0.3
,301,0,,250707 14:20:06,0,0.3
,302,0,,250707 14:20:10,0,0.3
,303,0,,250707 14:20:14,0,0.3
,304,0,,250707 14:20:18,0,0.3
,305,0,,250707 14:20:22,0,0.3
,306,0,,250707 14:20:26,0,0.3
,307,0,,250707 14:20:30,0,0.3
,308,0,,250707 14:20:34,0,0.3
,309,0,,250707 14:20:38,0,0.3
,310,0,,250707 14:20:42,0,0.3
,311,0,,250707 14:20:46,0,0.3
,312,0,,250707 14:20:50,0,0.3
,313,0,,250707 14:20:54,0,0.3
,314,0,,250707 14:20:58,0,0.3
,315,0,,250707 14:21:02,0,0.3
,316,0,,250707 14:21:06,0,0.3
,317,0,,250707 14:21:10,0,0.3
,318,0,,250707 14:21:14,0,0.3
,319,0,,250707 14:21:18,0,0.3
,320,0,,250707 14:21:22,0,0.3
,321,0,,250707 14:21:26,0,0.3
,322,0,,250707 14:21:30,0,0.3
,323,0,,250707 14:21:34,0,0.3
,324,0,,250707 14:21:38,0,0.3
,325,0,,250707 14:21:42,0,0.3
,326,0,,250707 14:21:46,0,0.3
,327,0,,250707 14:21:50,0,0.3
,328,0,,250707 14:21:54,0,0.3
,329,0,,250707 14:21:58,0,0.3
,330,0,,250707 14:22:02,0,0.3
,331,0,,250707 14:22:06,0,0.3
,332,0,,250707 14:22:10,0,0.3
,333,0,,250707 14:22:14,0,0.3
,334,0,,250707 14:22:18,0,0.3
,335,0,,250707 14:22:22,0,0.3
,336,0,,250707 14:22:26,0,0.3
,337,0,,250707 14:22:30,0,0.3
,338,0,,250707 14:22:34,0,0.3
,339,0,,250707 14:22:38,0,0.3
,340,0,,250707 14:22:42,0,0.3
,341,0,,250707 14:22:46,0,0.3
,342,0,,250707 14:22:50,0,0.3
,343,0,,250707 14:22:54,0,0.3
,344,0,,250707 14:22:58,0,0.3
,345,0,,250707 14:23:02,0,0.3
,346,0,,250707 14:23:06,0,0.3
,347,0,,250707 14:23:10,0,0.3
,348,0,,250707 14:23:14,0,0.3
,349,0,,250707 14:23:18,0,0.3
,350,0,,250707 14:23:22,0,0.3
,351,0,,250707 14:23:26,0,0.3
,352,0,,250707 14:23:30,0,0.3
,353,0,,250707 14:23:34,0,0.3
,354,0,,250707 14:23:38,0,0.3
,355,0,,250707 14:23:42,0,0.3
,356,0,,250707 14:23:46,0,0.3
,357,0,,250707 14:23:50,0,0.3
,358,0,,250707 14:23:54,0,0.3
,359,0,,250707 14:23:58,0,0.3
,360,0,,250707 14:24:02,0,0.3
,361,0,,250707 14:24:06,0,0.3
,362,0,,250707 14:24:10,0,0.3
,363,0,,250707 14:24:14,0,0.3
,364,0,,250707 14:24:18,0,0.3
,365,0,,250707 14:24:22,0,0.3
,366,0,,250707 14:24:26,0,0.3
,367,0,,250707 14:24:30,0,0.3
,368,0,,250707 14:24:34,0,0.3
,369,0,,250707 14:24:38,0,0.3
,370,0,,250707 14:24:42,0,0.3
,371,0,,250707 14:24:46,0,0.3
,372,0,,250707 14:24:50,0,0.3
,373,0,,250707 14:24:54,0,0.3
,374,0,,250707 14:24:58,0,0.3
,375,0,,250707 14:25:02,0,0.3
,376,0,,250707 14:25:06,0,0.3
,377,0,,250707 14:25:10,0,0.3
,378,0,,250707 14:25:14,0,0.3
,379,0,,250707 14:25:18,0,0.3
,380,0,,250707 14:25:22,0,0.3
,381,0,,250707 14:25:26,0,0.3
,382,0,,250707 14:25:30,0,0.4
,383,0,,250707 14:25:34,0,0.3
,384,0,,250707 14:25:38,0,0.4
,385,0,,250707 14:25:42,0,0.3
,386,0,,250707 14:25:46,0,0.4
,387,0,,250707 14:25:50,0,0.3
,388,0,,250707 14:25:54,0,0.4
,389,0,,250707 14:25:58,0,0.3
,390,0,,250707 14:26:02,0,0.3
,391,0,,250707 14:26:06,0,0.3
,392,0,,250707 14:26:10,0,0.3
,393,0,,250707 14:26:14,0,0.3
,394,0,,250707 14:26:18,0,0.3
,395,0,,250707 14:26:22,0,0.3
,396,0,,250707 14:26:26,0,0.3
,397,0,,250707 14:26:30,0,0.3
,398,0,,250707 14:26:34,0,0.3
,399,0,,250707 14:26:38,0,0.3
,400,0,,250707 14:26:42,0,0.3
,401,0,,250707 14:26:46,0,0.3
,402,0,,250707 14:26:50,0,0.3
,403,0,,250707 14:26:54,0,0.3
,404,0,,250707 14:26:58,0,0.3
,405,0,,250707 14:27:02,0,0.3
,406,0,,250707 14:27:06,0,0.3
,407,0,,250707 14:27:10,0,0.3
,408,0,,250707 14:27:14,0,0.3
,409,0,,250707 14:27:18,0,0.3
,410,0,,250707 14:27:22,0,0.3
,411,0,,250707 14:27:26,0,0.3
,412,0,,250707 14:27:30,0,0.3
,413,0,,250707 14:27:34,0,0.3
,414,0,,250707 14:27:38,0,0.3
,415,0,,250707 14:27:42,0,0.3
,416,0,,250707 14:27:46,0,0.3
,417,0,,250707 14:27:50,0,0.3
,418,0,,250707 14:27:54,0,0.4
,419,0,,250707 14:27:58,0,0.3
,420,0,,250707 14:28:02,0,0.3
,421,0,,250707 14:28:06,0,0.3
,422,0,,250707 14:28:10,0,0.3
,423,0,,250707 14:28:14,0,0.3
,424,0,,250707 14:28:18,0,0.3
,425,0,,250707 14:28:22,0,0.3
,426,0,,250707 14:28:26,0,0.3
,427,0,,250707 14:28:30,0,0.3
,428,0,,250707 14:28:34,0,0.3
,429,0,,250707 14:28:38,0,0.3
,430,0,,250707 14:28:42,0,0.3
,431,0,,250707 14:28:46,0,0.3
,432,0,,250707 14:28:50,0,0.3
,433,0,,250707 14:28:54,0,0.3
,434,0,,250707 14:28:58,0,0.3
,435,0,,250707 14:29:02,0,0.3
,436,0,,250707 14:29:06,0,0.3
,437,0,,250707 14:29:10,0,0.3
,438,0,,250707 14:29:14,0,0.3
,439,0,,250707 14:29:18,0,0.3
,440,0,,250707 14:29:22,0,0.3
,441,0,,250707 14:29:26,0,0.3
,442,0,,250707 14:29:30,0,0.3
,443,0,,250707 14:29:34,0,0.3
,444,0,,250707 14:29:38,0,0.3
,445,0,,250707 14:29:42,0,0.3
,446,0,,250707 14:29:46,0,0.3
,447,0,,250707 14:29:50,0,0.3
,448,0,,250707 14:29:54,0,0.3
,449,0,,250707 14:29:58,0,0.3
,450,0,,250707 14:30:02,0,0.3
,451,0,,250707 14:30:06,0,0.4
,452,0,,250707 14:30:10,0,0.3
,453,0,,250707 14:30:14,0,0.4
,454,0,,250707 14:30:18,0,0.3
,455,0,,250707 14:30:22,0,0.3
,456,0,,250707 14:30:26,0,0.3
,457,0,,250707 14:30:30,0,0.3
,458,0,,250707 14:30:34,0,0.3
,459,0,,250707 14:30:38,0,0.3
,460,0,,250707 14:30:42,0,0.3
,461,0,,250707 14:30:46,0,0.4
,462,0,,250707 14:30:50,0,0.4
,463,0,,250707 14:30:54,0,0.4
,464,0,,250707 14:30:58,0,0.4
,465,0,,250707 14:31:02,0,0.4
,466,0,,250707 14:31:06,0,0.3
,467,0,,250707 14:31:10,0,0.4
,468,0,,250707 14:31:14,0,0.4
,469,0,,250707 14:31:18,0,0.3
,470,0,,250707 14:31:22,0,0.3
,471,0,,250707 14:31:26,0,0.3
,472,0,,250707 14:31:30,0,0.3
,473,0,,250707 14:31:34,0,0.3
,474,0,,250707 14:31:38,0,0.4
,475,0,,250707 14:31:42,0,0.4
,476,0,,250707 14:31:46,0,0.3
,477,0,,250707 14:31:50,0,0.3
,478,0,,250707 14:31:54,0,0.3
,479,0,,250707 14:31:58,0,0.3
,480,0,,250707 14:32:02,0,0.4
,481,0,,250707 14:32:06,0,0.3
,482,0,,250707 14:32:10,0,0.4
,483,0,,250707 14:32:14,0,0.3
,484,0,,250707 14:32:18,0,0.3
,485,0,,250707 14:32:22,0,0.4
,486,0,,250707 14:32:26,0,0.4
,487,0,,250707 14:32:30,0,0.3
,488,0,,250707 14:32:34,0,0.3
,489,0,,250707 14:32:38,0,0.4
